id,title,author,genre,description,rating,year,cover_id
12,Carmilla,Sheridan Le Fanu,English Fantasy fiction,"English Fantasy fiction Fantasy fiction, English Fiction Lesbians Vampires Fiction, horror Fiction, mystery & detective, general Austria, fiction Vampires, fiction Gothic Fiction",0,1871,973851
13,The Time Machine,H. G. Wells,Self-experimentation in medicine in fiction,Self-experimentation in medicine in fiction Fiction Time travel in fiction Dystopias in fiction Literature Scientists Classic Literature Open Library Staff Picks Scientists in fiction Space warfare,0,1895,9009316
14,The Summer I Turned Pretty,Jenny Han,Beaches,Beaches Coming of age Fiction Friendship Interpersonal relations Summer Vacation homes Teenage girls Teenage boy/girl Juvenile fiction,0,2000,8783502
15,The Eyes of Darkness,Dean Koontz,Mothers and sons,"Mothers and sons Fiction Fiction, horror Mothers and sons, fiction Fiction, thrillers, suspense Las vegas (nev.), fiction Mothers and daughters, fiction",0,1981,12547107
16,Wuthering Heights,Emily Brontë,form:novel,form:novel genre:tragedy genre:gothic British and irish fiction (fictional works by one author) Children's fiction Classic fiction Classic Literature Country homes Country life Cousins,0,1846,12818862
17,Anne of the Island,Lucy Maud Montgomery,College students,"College students Friendship Universities and colleges Fiction Juvenile fiction College stories Orphans History Children's fiction Shirley, anne (fictitious character), fiction",0,1915,14639028
18,"Red, White & Royal Blue",Casey McQuiston,"Fiction, gay","Fiction, gay Fiction, romance, contemporary Fiction, humorous Gay men, fiction Presidents, united states, fiction nyt:trade-fiction-paperback=2019-06-02 New York Times bestseller fiction humor romance",0,2019,9171544
19,A Wizard of Earthsea,Ursula K. Le Guin,Fiction,"Fiction Magic Magic in fiction Fantasy Wizards Wizards in fiction Bk. 1. Earthsea (Le Guin, Ursula K.) Juvenile fiction Children's fiction",0,1968,13617691
20,They Both Die at the End,Adam Silvera,Death,Death Romance fiction Gay men Adventure and adventurers Juvenile fiction Fiction Hispanic Americans Gays Love Friendship,0,2017,9280553
21,Anne of Green Gables,Lucy Maud Montgomery,Fiction,Fiction Juvenile fiction Country life Friendship Orphans Friendship in fiction Prince Edward Island in fiction Orphans in fiction Country life in fiction Foster home care,0,1908,14641084
22,The Scarlet Letter,Nathaniel Hawthorne,Fiction,Fiction Puritans Puritans in fiction History Adultery in fiction Adultery Illegitimate children Illegitimate children in fiction Triangles (Interpersonal relations) Clergy,0,1800,5654516
23,Caraval,Stephanie Garber,Serie:Caraval,"Serie:Caraval Festivals, fiction Kidnapping, fiction Marriage, fiction Sisters, fiction Contests, fiction Fantasy fiction Children's fiction Treasure hunt (Game) Kidnapping",0,2000,7990753
24,The Great Gatsby,F. Scott Fitzgerald,"Married people, fiction","Married people, fiction American fiction (fictional works by one author) Fiction, psychological Long island (n.y.), fiction Fiction Rich people Mistresses Married women Traffic accidents First loves",0,1920,10590366
25,The War of the Worlds,H. G. Wells,Imaginary wars and battles,Imaginary wars and battles Juvenile fiction Space warfare Science Fiction & Fantasy Fiction Diseases Martians Invasions Classic Literature Open Library Staff Picks,0,0,36314
26,Мастер и Маргарита,Михаил Афанасьевич Булгаков,satire,satire humor Politicians Good and evil Alienation atheism magicians bands political fiction allegories,0,1966,12947486
27,A Princess of Mars,Edgar Rice Burroughs,John Carter (Fictitious character),John Carter (Fictitious character) Fiction Classic Literature Dejah Thoris (Fictitious character) Princesses Princesses in fiction Science fiction Translations into Russian Fantasy Barsoom,0,1912,207226
28,The Shining,Stephen King,Fiction,Fiction horror fiction demonology precognition authors hotelkeepers gothic & horror paranormal fiction suspense & thriller horror supernatural thrillers,0,1977,12376585
29,Haunting Adeline,H. D. Carlton,collectionID:YDarkromance,"collectionID:YDarkromance Fiction, romance, general Fiction, thrillers, suspense Young adult fiction, romance, general Young adult fiction, fantasy, dark fantasy nyt:trade-fiction-paperback=2024-09-15 New York Times bestseller",0,2021,12992962
30,La Peste,Albert Camus,Fiction,Fiction Plague Plague in literature Epidemics Peste bubónica FICTION / Classics FICTION / Psychological FICTION / Literary Continental european fiction (fictional works by one author) Medicine in Literature,0,1942,13151272
31,The Secret Garden,Frances Hodgson Burnett,"Fiction, general","Fiction, general Friendship, fiction People with disabilities, fiction Great britain, fiction Child and youth fiction Children's fiction Gardens, fiction England, fiction American literature Orphans, fiction",0,1911,12622062
32,Mrs. Dalloway,Virginia Woolf,Fiction,Fiction Married women Married women in fiction Regret Suicide victims in fiction Middle-aged women First loves Parties in fiction Suicide victims First loves in fiction,0,1925,6397580
33,Anthem,Ayn Rand,Fiction,Fiction Individuality Time travel in fiction Individuality in fiction collectivism Time travel Psychology Men Men in fiction Man-woman relationships,0,1936,802982
34,The Wonderful Wizard of Oz,L. Frank Baum,Witches,"Witches Spanish language materials Fiction Wizards Juvenile literature Wizards in fiction Children's stories, Russian Specimens Imaginary voyages in fiction Classic Literature",0,1899,552443
35,Interview With the Vampire,Anne Rice,gothic horror,gothic horror vampire literature Vampires Translations into Spanish Fiction Novela Spanish imprints Spanish fiction American fiction Vampiros,0,1672,8401488
36,A Christmas Carol,Charles Dickens,Children's fiction,"Children's fiction Christmas, fiction Children's plays, English Christmas Drama Ghosts Plays Ghost plays British and irish fiction (fictional works by one author) London (england), fiction",0,1843,12875748
37,Atlas Shrugged (Centennial Ed. HC),Ayn Rand,Classic Literature,"Classic Literature Fiction Literature Fiction, action & adventure Fiction, science fiction, general Egoism Capitalism Objectivism (Philosophy) Capitalism in fiction Egoism in fiction",0,1936,362277
38,The Outsiders,S. E. Hinton,juvenile works,juvenile works violence fiction classics Fiction Gangs Family life Family Juvenile fiction Brothers Young adult fiction,0,1967,7263662
39,The Silmarillion,J.R.R. Tolkien,Fantasy fiction,"Fantasy fiction Short stories Middle Earth (Imaginary place) Elves Fiction British and irish fiction (fictional works by one author) Fiction, fantasy, epic Middle earth (imaginary place), fiction English Fantasy fiction English literature",0,1977,14627042
40,Dracula,Bram Stoker,English literature,English literature Fiction Horror Horror stories Horror tales Monsters Thriller Vampires Vampires in literature Horror fiction,0,1897,12216503
41,The Sun Also Rises,Ernest Hemingway,"Fiction, Historical","Fiction, Historical Expatriation, fiction Americans History Brett Ashley (Fictitious character) Fiction Ashley, Brett (Fictitious character) Spain, fiction American fiction (fictional works by one author) Ashley, brett (fictitious character), fiction",0,1926,78741
42,Misery,Stephen King,dope,dope pills American Novelists Captives Fans (Persons) Fiction Novelists Prisoners Suspense fiction Writers,0,1978,8259296
43,The Fellowship of the Ring,J.R.R. Tolkien,Elves,Elves Dwarves evil fear hope young adult fiction Ficción Ficción fantástica inglesa Fantastic fiction The Lord of the Rings,0,1954,14627060
44,A Good Girl's Guide to Murder,Holly Jackson,Cold cases (Criminal investigation)--Fiction.,"Cold cases (Criminal investigation)--Fiction. Murder--Fiction. Mystery and detective stories. Children's fiction Murder, fiction Mystery and detective stories Criminals, fiction Young adult fiction, law & crime Young adult fiction, social themes, prejudice & racism Young adult fiction, thrillers & suspense",0,2019,13156188
45,Dork Diaries Collection,Rachel Renée Russell,Children's fiction,"Children's fiction Friendship, fiction Schools, fiction Popularity, fiction Diaries, fiction",0,2020,15113010
46,A Little Princess,Frances Hodgson Burnett,Children's fiction,"Children's fiction Orphans, fiction London (england), fiction Boarding schools, fiction England, fiction Crewe, sara (fictitious character), fiction Schools, fiction Fiction Orphans Schools",0,1905,2328315
47,Записки изъ подполья,Fiódor Dostoievski,Fiction,"Fiction History General Officials and employees Employees Fiction, historical Russia (federation), fiction Fiction, historical, general Fiction, political Slavic philology",0,1864,10445973
48,The Lost World,Arthur Conan Doyle,Adventure stories,Adventure stories Atlantis Dinosaurs Discovery and exploration English Detective and mystery stories Fiction Fiction in French Prehistoric peoples Professor Challenger (Fictitious character) Scientific expeditions,0,1900,8231444
49,We Were Never Meant To Be,Palle Vasu,Literary Fiction,Literary Fiction,0,2025,15024571
50,Verity,Colleen Hoover,"Fiction, romance, contemporary, suspense","Fiction, romance, contemporary, suspense New York Times bestseller Family secrets in fiction Man-woman relationships, fiction Secrecy in fiction Fiction Romance collectionid:nyt2020s Man-woman relationships",0,2018,8747160
51,The Mystery of the Blue Train,Agatha Christie,Crimes against,Crimes against Detective and mystery stories Divorce Divorce in fiction Fiction Hercule Poirot (Fictitious character) Jewelry theft Jewelry theft in fiction Married women Married women in fiction,0,1928,14575533
52,Foundation,Isaac Asimov,Psychohistory,"Psychohistory Open Library Staff Picks Life on other planets Fiction Science Fiction Long Now Manual for Civilization Prophecy Historians Robots Fiction, science fiction, general",0,1951,14612610
53,Restore me,Tahereh Mafi,Science fiction,"Science fiction Romance fiction Ability Dictatorship Resistance to Government Soldiers Fiction Children's fiction Soldiers, fiction Love, fiction",0,2018,8797404
54,Emma,Jane Austen,Social life and customs,"Social life and customs Mate selection Fiction Fathers and daughters open_syllabus_project Historical Fiction Female friendship Young women Classic Literature Love stories, English",0,1815,9278312
55,L’étranger,Albert Camus,Philosophical Novels,Philosophical Novels Murder Fiction Medicine in Literature French Novelas francesas Asesinato Ficción Relatos de aventuras Critique et interprétation,0,1942,13151269
56,White Fang,Jack London,Gold discoveries,Gold discoveries Wolfdogs Classic Literature American Adventure stories Open Library Staff Picks Juvenile fiction Fiction Gold mines and mining Historical Fiction Wolves,0,1905,8236920
57,Double Down,Jeff Kinney,Motion pictures,Motion pictures Humorous Stories JUVENILE FICTION JUVENILE FICTION / Humorous Stories Comics & Graphic Novels Video games Family life Fiction Comics & Graphic Novels - General JUVENILE FICTION / Social Themes / Friendship,0,2007,7888937
58,The Naked Sun,Isaac Asimov,Fiction,"Fiction Science fiction Robots Robots in fiction Fiction, science fiction, hard science fiction Fiction, mystery & detective, general American literature Fiction, science fiction, general American Science fiction Murder",0,1954,6542967
59,Blood Meridian,Cormac McCarthy,Fiction,"Fiction Glanton Gang Outlaws Teenage boys Indians of North America Massacres Indians of north america, fiction Fiction, westerns Fiction, historical West (u.s.), fiction",0,1985,419991
60,Metamorphosis,Franz Kafka,Fantasy fiction,Fantasy fiction Children's fiction Lectures et morceaux choisis Fantastique Nouvelles Métamorphose Romans Famille Metamorphosis Die Verwandlung,0,1915,12820198
61,Voyage au Centre de la Terre,Jules Verne,Fiction,Fiction Science fiction Imaginary Voyages Imaginary voyages in fiction Explorers in fiction Explorers Cartoons and comics Adventure and adventurers Adventure and adventurers in fiction French Science fiction,0,1867,5890987
62,Howl's Moving Castle,Diana Wynne Jones,Blessing and cursing,Blessing and cursing Castles Fantasy Fiction Witches Wizards deamons magic Sisters Fantasy fiction,0,1986,8783945
63,Insomnia,Stephen King,Bram Stoker Award for Best Novel,"Bram Stoker Award for Best Novel suspense Suspense Thriller Open Library Staff Picks Horror Insomnia Fiction Horror fiction Fiction, horror Maine, fiction",0,1994,7886954
64,A Gentleman in Moscow,Amor Towles,historical fiction,historical fiction literary fiction political fiction Aristocracy (Social class) Home detention FICTION / Literary FICTION / Political Fiction Interpersonal relations Hotels,0,2016,11326818
65,To Kill a Mockingbird,Harper Lee,fiction,fiction fiction classics contemporary fiction racial segregation mob mentality Southern Gothic southern life racial injustice class courage,0,1960,14351077
66,Le petit prince,Antoine de Saint-Exupéry,adventure,"adventure fantasy friendship love childhood loss loneliness Children's fiction Friendship, fiction Fantasy fiction",0,1943,10708272
67,Harry Potter and the Philosopher's Stone,J. K. Rowling,series:Harry_Potter,series:Harry_Potter Ghosts Monsters Vampires Witches Challenges and Overcoming Obstacles Magic and Supernatural Cleverness School Life school stories,0,1997,15155833
68,All your perfects,Colleen Hoover,Fiction,"Fiction Married people Marriage Secrecy Fiction, romance, contemporary Fiction, family life, general Fiction, psychological Married people, fiction Marriage, fiction Man-woman relationships, fiction",0,2018,10317914
69,Ubik,Philip K. Dick,Fiction,"Fiction Death Businessmen Explosions Science Fiction Fiction, science fiction, general Iowa, fiction Fiction, humorous FICTION / Science Fiction / General FICTION / Literary",0,1969,5018327
70,Cantik Itu Luka,Eka Kurniawan,General Fiction,"General Fiction Fiction and Literature Fiction, family life Indonesia, fiction Mothers and daughters, fiction Fiction, general",0,2015,13903116
71,The Princess Bride,William Goldman,Castles,"Castles Fiction Princesses Good and evil Princes Fiction, action & adventure Fiction, fantasy, general Fiction, romance, fantasy Romance fiction Fantasy",0,1973,9284881
72,Shatter Me Complete Collection,Tahereh Mafi,Children's fiction,"Children's fiction Love, fiction Soldiers, fiction Science fiction Young adult fiction, dystopian Young adult fiction, romance, paranormal Young adult fiction, action & adventure, general Young adult fiction, science fiction, romance Young adult fiction, science fiction, general",0,2011,14428312
73,Harry Potter and the Chamber of Secrets,J. K. Rowling,series:Harry_Potter,series:Harry_Potter Fantasy fiction school stories Fiction Fantasy Nestlé Smarties Book Prize winner Juvenile fiction Wizards Magic Schools,0,1998,15158664
74,The One (The Selection #3),Kiera Cass,Science Fiction,"Science Fiction Young adult fiction Dystopian Fiction romance Children's fiction Marriage, fiction Contests, fiction Love, fiction Princes, fiction Contests",0,2012,7284881
75,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Fiction,Fiction Physicians Physicians in fiction Multiple personality in fiction Multiple personality Self-experimentation in medicine in fiction Self-experimentation in medicine Ficción Médicos Novela de terror,0,1875,295773
76,The Bell Jar,Sylvia Plath,women college students,women college students summer Classics Literature Psychology Feminism Novel Poetry Mental Health American,0,1948,8477115
77,The Caves of Steel,Isaac Asimov,Robots,"Robots Fiction Fiction, science fiction, hard science fiction Fiction, mystery & detective, general Interplanetary voyages Murder American literature American Science fiction Science fiction Overpopulation",0,1953,13790511
78,The Handmaid's Tale,Margaret Atwood,brothels,"brothels Canadian authors Canadian fantasy fiction Canadian fiction (fictional works by one author) Christian fundamentalism Dystopian fiction Dystopias fantasy fiction Fiction Fiction, dystopian",0,1985,8231851
79,Anne of Avonlea,Lucy Maud Montgomery,Fiction,Fiction History Juvenile fiction Orphans Teachers Islands Teachers in fiction Orphans in fiction Prince Edward Island in fiction Islands in fiction,0,1909,14638062
80,We'll Always Have Summer,Jenny Han,Interpersonal relations,Interpersonal relations Love Brothers Vacation homes Beaches Fiction Juvenile fiction Love stories Romance fiction nyt:chapter-books=2011-05-15,0,2011,6971834
81,Dork Diaries,Rachel Renée Russell,Children's fiction,"Children's fiction Friendship, fiction Popularity, fiction Artists, fiction Schools, fiction Diaries, fiction Humorous stories",0,2009,10398163
82,Sofies verden,Jostein Gaarder,Didactic fiction,Didactic fiction Ficción Fiction Filosofía Historia History Philosophy Superman (Philosophical concept) Norwegian fiction New York Times reviewed,0,1991,223463
83,Animal Farm,George Orwell,British and Irish fiction (fictional works by one author),"British and Irish fiction (fictional works by one author) political satire classic animal drama Fiction, political English literature: literary criticism For National Curriculum Key Stage 4 & GCSE Fiction, satire English literature Fiction",0,1945,11261770
84,Oliver Twist,Charles Dickens,Bildungsromans,Bildungsromans Boys Brigands and robbers British and irish fiction (fictional works by one author) British fiction Children Children's fiction Children's stories Classic Coming of age,0,1822,13300802
85,Pollyanna,Eleanor Hodgman Porter,Aunts,Aunts Cheerfulness Classic Literature Conduct of life Family Fiction History Interpersonal relations Juvenile Literature Juvenile fiction,0,1912,902113
86,Watership Down,Richard Adams,Rabbits,Rabbits Adventure and adventurers Open Library Staff Picks Fiction Children's stories Survival Juvenile fiction Adventure stories English Fantasy fiction Nature,0,1972,6450196
87,I Have No Mouth and I Must Scream,Harlan Ellison,Fiction,Fiction science fiction collections & anthologies,0,1972,5540875
88,The Blade Itself,Joe Abercrombie,"Fiction, fantasy, general","Fiction, fantasy, general Fantasy fiction Fantasy Fiction",0,2001,14543422
89,Death's End (The Three-Body Problem Series Book 3),刘慈欣,Fiction,"Fiction Science Fiction Fiction, science fiction, general Human-alien encounters Imaginary wars and battles Fiction, science fiction, action & adventure Chinese Science fiction Survival Extraterrestrial beings Hard Science Fiction",0,2010,7893958
90,House of Leaves,Mark Z. Danielewski,Holes,"Holes Documentary films Manuscripts Fiction Fiction, suspense Fiction, horror Fiction, thrillers, suspense Suspense Labyrinths Dwellings",0,1998,6450442
91,Demian,Hermann Hesse,Teenage boys,Teenage boys Translations into English Bildungsromans Fiction German fiction Germany Bildungsroman Social conditions Translations into Portuguese Portuguese fiction,0,1919,12569297
92,Kindred,Octavia E. Butler,Fiction,Fiction Slaves African American women Slaveholders Slavery Time travel Literature open_syllabus_project Historical Science Fiction,0,1979,8745330
93,Project Hail Mary,Andy Weir,hard science-fiction,"hard science-fiction science-fiction sci-fi hard sci-fi nyt:hardcover-fiction=2021-05-23 New York Times bestseller New York Times reviewed Fiction, science fiction, action & adventure Fiction, science fiction, hard science fiction End of the world",0,2021,11200092
94,Snow Crash,Neal Stephenson,American Science fiction,"American Science fiction Open Library Staff Picks ready player one Fiction Science fiction Suspense open_syllabus_project American fiction Fiction, science fiction, general Fiction, humorous",0,1992,392508
95,Deception Point,Dan Brown,mystery fiction,mystery fiction adventure fiction literature Meteors Conspiracies Presidents Scientists Fiction Americans Election,0,2001,14553479
96,Solaris,Stanisław Lem,Translations into English,"Translations into English English fiction Polish Science fiction Polish fiction Translations from Polish Science fiction Fiction, science fiction, general Slavic philology Life on other planets Fiction",0,1961,12313764
97,Fahrenheit 451,Ray Bradbury,Mechanical Hound,Mechanical Hound girl next door Long Now Manual for Civilization Terrorismo estatal Censura Novela Totalitarismo science fiction political fiction satire,0,1953,12993656
98,Exile,Shannon Messenger,Fantasy,"Fantasy Psychic ability Ability Memory Juvenile fiction Elves Fiction Children's fiction Fairies, fiction Fantasy fiction",0,2012,12812591
99,Dune,Frank Herbert,Dune (Imaginary place),"Dune (Imaginary place) Fiction Fiction, science fiction, general Dune (imaginary place), fiction New York Times reviewed Science fiction Science-fiction American literature nyt:mass-market-monthly=2021-11-07 New York Times bestseller",0,1965,11481354
100,The Exorcist,William Peter Blatty,Fiction,Fiction Horror horror fiction demonic possession Gothic Revival priests demons bishops heart arrhythmia Jesuits,0,1971,12715730
101,Pride and Prejudice,Jane Austen,"Fiction, Romance, Historical, Regency","Fiction, Romance, Historical, Regency British and Irish fiction (fictional works by one author) Brothers and sisters Courtship Drama English fiction English literature Families Family Family life",0,1813,14348537
102,The Man in the Brown Suit,Agatha Christie,Fiction,"Fiction Mystery English literature Fiction, mystery & detective, general French fiction English Detective and mystery stories London (england), fiction Fiction, mystery & detective, traditional Fiction, mystery & detective, international crime & mystery Fiction, mystery & detective, amateur sleuth",0,1924,11153508
103,Coraline,Neil Gaiman,Fantasy,Fantasy Paranormal fiction Juvenile fiction Graphic novels Children's literature Fiction Hugo Award Winner Supernatural award:hugo_award=novella Horror stories,0,2001,14171421
104,The King in Yellow,Robert W. Chambers,Fiction,"Fiction Fiction, horror Fiction, short stories (single author) Fiction, fantasy, collections & anthologies Fiction, fantasy, paranormal American fiction American Short stories Cuentos estadounidenses Fiction, general American literature",0,1895,4752788
105,Sense and Sensibility,Jane Austen,"Fiction, Romance, Historical, Regency","Fiction, Romance, Historical, Regency Inheritance and succession, fiction Mate selection, fiction Social classes, fiction Family life, fiction Text-books for foreigners Young women,  fiction Literature Readers Gentry",0,1811,9278292
106,Hrabě Monte Cristo. Díl 1 a 2 (třísvazkové vydání),Alexandre Dumas,France -- History -- 19th century -- Fiction,France -- History -- 19th century -- Fiction France Fiction France in fiction History Adventure and adventurers in fiction Readers French language Adventure and adventurers Translations into Yiddish,0,1830,14566393
107,The Dark Forest (The Three-Body Problem Series Book 2),刘慈欣,Chinese Science fiction,"Chinese Science fiction Fiction Science Fiction Fiction, science fiction, general Human-alien encounters Imaginary wars and battles FICTION / Science Fiction / General General",0,2008,10526598
108,The Magician's Nephew,C. S. Lewis,Fantasy,Fantasy Juvenile fiction Cartoons and comics Fiction Fairy tales Narnia (Imaginary place) Reading list Magic Romance norte americano Fantasy fiction,0,1955,1072931
109,Pyramids,Terry Pratchett,American Fantasy fiction,"American Fantasy fiction Discworld (Imaginary place) Fantasy Fiction Pyramids Translations into Russian Pyramids -- Fiction. English fiction Fiction, fantasy, general Discworld (imaginary place), fiction",0,1989,14646151
110,Jurassic Park,Michael Crichton,dichogamy,dichogamy corporate espionage science fiction cautionary tale genetic engineering amusement parks dinosaurs chaos theory Procompsognathus paleontologists,0,1990,12882940
111,Rising Tides,Nora Roberts,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Boatbuilding, fiction Brothers, fiction Domestic fiction Chesapeake Bay Saga Women's Fiction",0,1998,3202381
112,The Lightning Thief,Rick Riordan,Serie:Percy_Jackson_and_the_Olympians,Serie:Percy_Jackson_and_the_Olympians Fiction Greek Mythology Juvenile fiction Camps Friendship Fantasy fiction Fantasy Young Adult Fiction New York Times bestseller,0,2005,7239831
113,Intensity,Dean Koontz,Fiction,"Fiction Young women Psychopaths Crimes against Fiction, suspense Fiction, thrillers Sheperd, chyna (fictitious character), fiction Napa county (calif.), fiction California, fiction Fiction, thrillers, general",0,1985,12879769
114,Persuasion,Jane Austen,"Fiction, Romance, Historical, Regency","Fiction, Romance, Historical, Regency Love stories, English Moški in ženske V leposlovju Medosebni odnosi Družbene razmere Social life and customs Rejection (Psychology) Officers Great Britain. Royal Navy",0,1789,12824691
115,Rising Storm,Erin Hunter,Cats,"Cats Fantasy Fantasy Fiction Feral Cats Fiction Juvenile Fiction Children's fiction Cats, fiction series:warriors_the_prophecies_begin Adventure and adventurers, fiction",0,2004,10859048
116,Преступление и наказание,Fiódor Dostoievski,English Translations,English Translations Russian literature Novela psicológica Fiction Translations into Yiddish Psychological fiction German language Murder Fiction in Spanish Mystery fiction,0,1866,9411873
117,The Hitchhiker's Guide to the Galaxy,Douglas Adams,comic science fiction,comic science fiction Vogons Humorous fiction Imaginary voyages wit and humour Science Fiction Interstellar travel Fiction Interplanetary voyages Open Library Staff Picks,0,1979,12986869
118,The Legend of Sleepy Hollow,Washington Irving,Fiction,"Fiction Ghosts History Children's stories, American Short stories Christmas American Ghost stories Ghost stories Ichabod Crane (Fictitious character) Folklore",0,1820,8243083
119,Roadside Picnic,Аркадий Стругацкий,science fiction,"science fiction Russian science fiction alien visitation anomalies Russian fiction Fiction, science fiction, general",0,1978,6752719
120,Le fantôme de l'opéra,Gaston Leroux,Fiction,Fiction Opera Composers Phantom of the Opera (Fictitious character) Readers English language Horror stories Chinese language Chinese Reading comprehension,0,1911,8245407
121,Defy Me (Shatter Me),Tahereh Mafi,Fantasy fiction,"Fantasy fiction Science fiction Soldiers, fiction Children's fiction",0,2019,8791330
122,A Little Life,Hanya Yanagihara,LGBTQ novels,LGBTQ novels Coming of Age Literary Sagas Families Fiction Amerikanisches Englisch child abuse sexual abuse Dysfunctional families,0,2008,12065783
123,Redeeming Love,Francine Rivers,Frontier and pioneer life in fiction,Frontier and pioneer life in fiction Prostitutes in fiction Frontier and pioneer life Prostitutes Fiction Women pioneers frontier life love stories Romance fiction Christian fiction,0,1991,8272833
124,The Long Haul,Jeff Kinney,Automobile travel,Automobile travel Humorous stories Families Diaries Comics & Graphic Novels Family life Fiction Vacations JUVENILE FICTION General,0,2014,7316502
125,Where the Crawdads Sing,Delia Owens,Solitude,"Solitude Fiction Fiction, coming of age Fiction, mystery & detective, historical North carolina, fiction nyt:hardcover-fiction=2018-09-23 New York Times bestseller Abandoned children Man-woman relationships Investigation",0,2018,8362947
126,Rebecca,Daphne du Maurier,Married women,Married women Cornwall (England : County) Remarriage Remarried people Fiction Drama Suspense fiction Open Library Staff Picks English fiction Wives,0,1938,8238729
127,The Wicked King,Holly Black,"Kings, queens, rulers, etc.--Fiction.","Kings, queens, rulers, etc.--Fiction. Power (Philosophy)--Fiction. Courts and courtiers--Fiction. Fairies--Fiction. Sisters--Fiction. Fantasy. Children's fiction Kings, queens, rulers, etc., fiction Courts and courtiers, fiction Fairies, fiction",0,2019,8361788
128,Thinner,Stephen King,gluttony,gluttony magic Romani Allegories Horror Littérature d'épouvante Romanies Occult fiction Horror stories Horror fiction,0,1984,8274288
129,A Dangerous Path,Erin Hunter,Cats,"Cats Fantasy Fantasy Fiction Feral Cats Fiction Juvenile Fiction Children's fiction Cats, fiction Dogs, fiction Dogs",0,2004,10859059
130,The ones who walk away from Omelas,Ursula K. Le Guin,Fantasy,"Fantasy Conduct of life Fiction Children's fiction Fantasy fiction Fiction, science fiction, general",0,1973,3993167
131,The Godfather,Mario Puzo,Detective and mystery stories,Detective and mystery stories Organized crime Criminals Italian Americans Mafia Fiction Criminals in fiction Drama Italian Americans in fiction Mafia in fiction,0,1969,6507069
132,Brave New World,Aldous Huxley,Utopias,Utopias Brainwashing Moral and ethical aspects of Science Fiction Science and state Social problems Passivity (Psychology) Culture Propaganda Genetic engineering,0,1932,8231823
133,Ignite Me,Tahereh Mafi,Science fiction,"Science fiction Love Ability Dictatorship Resistance to Government Soldiers Fiction Children's fiction Soldiers, fiction Love, fiction",0,2014,7272906
134,Mort,Terry Pratchett,Death,"Death Discworld (Imaginary place) Fantasy Fiction satire humor anthropomorphic. Discworld (imaginary place), fiction Fiction, fantasy, general Death (fictitious character : pratchett), fiction",0,1987,14648805
135,The Mysterious Affair at Styles,Agatha Christie,Fiction,Fiction Mystery Crime Fiction Mystery Thriller Thriller Adult Classic Literature British Literature Hercule Poirot (Fictitious Character) Tommy Beresford (Fictitious Character),0,1920,13699667
136,The Titan's Curse,Rick Riordan,Serie:Percy_Jackson_and_the_Olympians,Serie:Percy_Jackson_and_the_Olympians nyt:series_books=2007-07-21 New York Times bestseller Fictitious Character Children's Fiction Fiction Greek Mythology Juvenile fiction Titans (Mythology) Monsters,0,2007,14601475
